 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
  306              -1.17772e-04      -5.60005e-05       7.00997e-05
  307              -1.34609e-04      -6.43377e-05       6.43377e-05
  308              -1.49827e-04      -7.19358e-05       5.72081e-05
  309              -1.63126e-04      -7.86234e-05       4.90273e-05
  310              -1.74275e-04      -8.42644e-05       4.00543e-05
  311              -1.83105e-04      -8.87536e-05       3.05015e-05
  312              -1.89492e-04      -9.20133e-05       2.05450e-05
  313              -1.93356e-04      -9.39898e-05       1.03339e-05
  314              -1.94649e-04      -9.46521e-05       8.07042e-17
  315              -1.93356e-04      -9.39898e-05      -1.03339e-05
  316              -1.89492e-04      -9.20133e-05      -2.05450e-05
  317              -1.83105e-04      -8.87536e-05      -3.05015e-05
  318              -1.74275e-04      -8.42644e-05      -4.00543e-05
  319              -1.63126e-04      -7.86234e-05      -4.90273e-05
  320              -1.49827e-04      -7.19358e-05      -5.72081e-05
  321              -1.34609e-04      -6.43377e-05      -6.43377e-05
  322              -1.17772e-04      -5.60005e-05      -7.00997e-05
  323              -9.97053e-05      -4.71361e-05      -7.41092e-05
  324              -8.09025e-05      -3.80034e-05      -7.59005e-05
  325              -6.19864e-05      -2.89146e-05      -7.49137e-05
  326              -4.37326e-05      -2.02444e-05      -7.04807e-05
  327              -2.70992e-05      -1.24396e-05      -6.18070e-05
  328              -1.32607e-05      -6.03048e-06      -4.79506e-05
  329              -3.64859e-06      -1.64206e-06      -2.77927e-05
  330               0.00000e+00       0.00000e+00       0.00000e+00
  331               0.00000e+00       0.00000e+00       0.00000e+00
  332              -4.03362e-06      -1.43600e-06       3.07461e-05
  333              -1.46776e-05      -5.29201e-06       5.31398e-05
  334              -3.00265e-05      -1.09485e-05       6.86031e-05
  335              -4.85026e-05      -1.78626e-05       7.83430e-05
  336              -6.88065e-05      -2.55669e-05       8.33823e-05
  337              -8.98744e-05      -3.36633e-05       8.45872e-05
  338              -1.10842e-04      -4.18157e-05       8.26886e-05
  339              -1.31011e-04      -4.97421e-05       7.83005e-05
  340              -1.49827e-04      -5.72081e-05       7.19358e-05
  341              -1.66850e-04      -6.40208e-05       6.40208e-05
  342              -1.81738e-04      -7.00235e-05       5.49077e-05
  343              -1.94229e-04      -7.50912e-05       4.48869e-05
  344              -2.04126e-04      -7.91272e-05       3.41986e-05
  345              -2.11289e-04      -8.20593e-05       2.30435e-05
  346              -2.15623e-04      -8.38379e-05       1.15932e-05
  347              -2.17074e-04      -8.44340e-05       9.09967e-17
  348              -2.15623e-04      -8.38379e-05      -1.15932e-05
  349              -2.11289e-04      -8.20593e-05      -2.30435e-05
  350              -2.04126e-04      -7.91272e-05      -3.41986e-05
  351              -1.94229e-04      -7.50912e-05      -4.48869e-05
  352              -1.81738e-04      -7.00235e-05      -5.49077e-05
  353              -1.66850e-04      -6.40208e-05      -6.40208e-05
  354              -1.49827e-04      -5.72081e-05      -7.19358e-05
  355              -1.31011e-04      -4.97421e-05      -7.83005e-05
  356              -1.10842e-04      -4.18157e-05      -8.26886e-05
  357              -8.98744e-05      -3.36633e-05      -8.45872e-05
  358              -6.88065e-05      -2.55669e-05      -8.33823e-05
  359              -4.85026e-05      -1.78626e-05      -7.83430e-05
  360              -3.00265e-05      -1.09485e-05      -6.86031e-05
  361              -1.46776e-05      -5.29201e-06      -5.31398e-05
  362              -4.03362e-06      -1.43600e-06      -3.07461e-05
  363               0.00000e+00       0.00000e+00       0.00000e+00
  364               0.00000e+00       0.00000e+00       0.00000e+00
  365              -4.36501e-06      -1.21363e-06       3.32924e-05
  366              -1.59008e-05      -4.48502e-06       5.76337e-05
  367              -3.25603e-05      -9.30147e-06       7.45112e-05
  368              -5.26410e-05      -1.52073e-05       8.51995e-05
  369              -7.47353e-05      -2.18054e-05       9.07868e-05
  370              -9.76867e-05      -2.87545e-05       9.21986e-05
  371              -1.20552e-04      -3.57643e-05       9.02192e-05
  372              -1.42569e-04      -4.25900e-05       8.55094e-05
  373              -1.63126e-04      -4.90273e-05       7.86234e-05
  374              -1.81738e-04      -5.49077e-05       7.00235e-05
  375              -1.98027e-04      -6.00935e-05       6.00935e-05
  376              -2.11700e-04      -6.44749e-05       4.91518e-05
  377              -2.22540e-04      -6.79662e-05       3.74632e-05
  378              -2.30388e-04      -7.05038e-05       2.52507e-05
  379              -2.35138e-04      -7.20436e-05       1.27059e-05
  380              -2.36728e-04      -7.25597e-05       9.65110e-17
  381              -2.35138e-04      -7.20436e-05      -1.27059e-05
  382              -2.30388e-04      -7.05038e-05      -2.52507e-05
  383              -2.22540e-04      -6.79662e-05      -3.74632e-05
  384              -2.11700e-04      -6.44749e-05      -4.91518e-05
  385              -1.98027e-04      -6.00935e-05      -6.00935e-05
  386              -1.81738e-04      -5.49077e-05      -7.00235e-05
  387              -1.63126e-04      -4.90273e-05      -7.86234e-05
  388              -1.42569e-04      -4.25900e-05      -8.55094e-05
  389              -1.20552e-04      -3.57643e-05      -9.02192e-05
  390              -9.76867e-05      -2.87545e-05      -9.21986e-05
  391              -7.47353e-05      -2.18054e-05      -9.07868e-05
  392              -5.26410e-05      -1.52073e-05      -8.51995e-05
  393              -3.25603e-05      -9.30147e-06      -7.45112e-05
  394              -1.59008e-05      -4.48502e-06      -5.76337e-05
  395              -4.36501e-06      -1.21363e-06      -3.32924e-05
  396               0.00000e+00       0.00000e+00       0.00000e+00
  397               0.00000e+00       0.00000e+00       0.00000e+00
  398              -4.63938e-06      -9.80398e-07       3.54034e-05
  399              -1.69161e-05      -3.63107e-06       6.13728e-05
  400              -3.46680e-05      -7.54502e-06       7.94425e-05
  401              -5.60898e-05      -1.23565e-05       9.09376e-05
  402              -7.96841e-05      -1.77436e-05       9.69971e-05
  403              -1.04217e-04      -2.34277e-05       9.85942e-05
  404              -1.28679e-04      -2.91700e-05       9.65565e-05
  405              -1.52251e-04      -3.47686e-05       9.15836e-05
  406              -1.74275e-04      -4.00543e-05       8.42644e-05
  407              -1.94229e-04      -4.48869e-05       7.50912e-05
  408              -2.11700e-04      -4.91518e-05       6.44749e-05
  409              -2.26374e-04      -5.27573e-05       5.27573e-05
